ID_Ventas;ID_Canal;ID_Provincia;ID_Ciudad;ID_Empresa;ID_Vendedor;ID_Comprador;ID_Titular;ID_Voucher;Fecha_de_Emisión;ID_Origen;ID_Destino;ID_Producto;ID_Tipo_de_Producto;Inicio_Viaje;Fin_Viaje;ID_Forma_de_Pago
63;13;4;9;1;81;5618;1;97929;15/1/2014;16;1000;200;3;22/3/2014;31/3/2014;1
64;3;5;15;15;216;4430;1;97933;15/1/2014;26;1000;200;3;19/1/2014;31/1/2014;1
65;13;4;9;1;22;2772;3;97946;15/1/2014;16;1001;200;3;22/1/2014;5/2/2014;1
66;3;5;15;15;216;5737;3;98049;15/1/2014;26;1000;102;3;27/1/2014;12/2/2014;1
67;3;5;15;15;216;255;1;98066;15/1/2014;26;1000;200;3;17/1/2014;24/1/2014;1
68;13;3;20;1;216;3537;4;98079;15/1/2014;14;1000;201;3;17/1/2014;24/1/2014;14
69;13;4;9;1;12;2568;4;98083;15/1/2014;14;1000;102;3;8/2/2014;17/2/2014;1
70;13;4;13;1;11;1198;3;98096;15/1/2014;14;1002;102;3;17/1/2014;31/1/2014;12
71;3;5;15;15;216;4545;1;98125;15/1/2014;26;1000;200;3;17/1/2014;24/1/2014;1
72;13;4;9;1;22;2601;3;98138;16/1/2014;16;1001;200;3;22/1/2014;24/2/2014;1
73;13;3;6;1;22;4392;3;98142;16/1/2014;14;1000;201;3;16/1/2014;3/2/2014;1
74;12;4;9;1;11;3791;3;98155;16/1/2014;16;1000;200;3;21/1/2014;5/2/2014;12
75;12;4;7;4;23;5663;1;98185;16/1/2014;26;1000;200;3;17/1/2014;31/1/2014;10
76;3;5;15;15;216;5260;4;98198;16/1/2014;26;1000;200;3;22/1/2014;30/1/2014;1
77;12;4;7;2;17;204;4;98201;17/1/2014;14;1000;200;3;18/1/2014;24/1/2014;13
78;3;5;15;15;216;7;4;98261;17/1/2014;26;1000;200;3;19/1/2014;4/2/2014;1
79;3;5;15;15;216;5262;3;98376;17/1/2014;26;1000;200;3;20/1/2014;27/1/2014;1
80;13;4;9;1;14;1831;3;98448;17/1/2014;16;1001;400;3;22/1/2014;13/2/2014;1
81;13;4;13;1;11;2367;4;98482;17/1/2014;14;1000;200;3;24/1/2014;9/2/2014;12
82;3;5;15;15;216;255;1;98495;17/1/2014;26;1000;200;3;21/1/2014;28/1/2014;1
83;13;4;9;1;216;2280;3;98507;17/1/2014;14;1001;102;3;19/1/2014;27/1/2014;1
84;3;5;15;15;216;5262;1;98524;17/1/2014;14;1000;200;3;29/1/2014;27/2/2014;1
85;3;5;15;15;216;3381;4;98537;17/1/2014;26;1000;200;3;20/1/2014;29/1/2014;1
86;13;4;9;1;85;2141;4;98554;17/1/2014;14;1000;200;3;21/1/2014;30/1/2014;1
87;3;5;15;15;216;3095;1;98597;18/1/2014;26;1000;200;3;21/1/2014;28/1/2014;1
88;3;5;15;15;216;4876;3;98626;18/1/2014;26;1000;200;3;21/1/2014;28/1/2014;1
89;3;5;15;15;216;3797;2;98639;18/1/2014;26;1000;200;3;21/1/2014;28/1/2014;1
90;3;5;15;15;216;2229;4;98656;18/1/2014;26;1001;400;3;17/2/2014;2/3/2014;1
91;3;5;15;15;216;2876;1;98715;20/1/2014;26;1000;200;3;22/1/2014;7/2/2014;1
92;13;4;9;1;71;2589;3;98732;20/1/2014;14;1003;400;3;15/4/2014;3/5/2014;1
93;13;4;9;1;71;2705;3;98758;20/1/2014;63;1000;200;3;20/1/2014;31/1/2014;1
94;12;4;9;1;11;5502;3;98775;20/1/2014;14;1000;200;3;22/1/2014;13/2/2014;12
95;3;5;15;15;216;3789;3;98788;20/1/2014;26;1000;200;3;23/1/2014;3/2/2014;1
96;3;5;15;15;216;324;2;98804;20/1/2014;26;1000;200;3;23/1/2014;3/2/2014;1
97;3;5;15;15;216;3143;1;98851;20/1/2014;26;1000;200;3;22/1/2014;29/1/2014;1
98;3;5;15;15;216;2756;1;98864;20/1/2014;26;1000;200;3;22/1/2014;29/1/2014;1
99;3;5;15;15;216;1077;4;98906;20/1/2014;26;1000;200;3;22/1/2014;29/1/2014;1
100;1;5;15;15;216;2724;3;98919;20/1/2014;26;1000;202;1;2/2/2014;2/18/2014;1
101;3;5;15;15;216;830;4;98983;21/1/2014;26;1000;200;3;23/1/2014;2/2/2014;1
102;3;5;15;15;216;4968;3;99009;21/1/2014;26;1000;102;3;26/1/2014;24/2/2014;1
103;13;4;9;1;14;5344;3;99013;21/1/2014;16;1000;200;3;26/3/2014;16/4/2014;1
104;13;4;9;1;14;5184;3;99026;21/1/2014;16;1000;200;3;26/3/2014;16/4/2014;1
105;13;4;9;1;14;110;3;99056;21/1/2014;14;1000;303;3;24/1/2014;5/2/2014;1
106;3;5;15;15;216;255;1;99069;21/1/2014;26;1000;200;3;24/1/2014;31/1/2014;1
107;3;5;15;15;216;255;1;99073;21/1/2014;26;1000;200;3;24/1/2014;31/1/2014;1
108;13;4;9;1;96;2850;3;99175;21/1/2014;14;1000;200;3;8/2/2014;16/2/2014;1
109;13;4;9;1;14;3822;3;99188;21/1/2014;14;1000;102;3;28/1/2014;19/2/2014;1
110;12;4;9;1;11;4838;1;99217;21/1/2014;16;1000;102;3;8/2/2014;11/2/2014;9
111;3;5;15;15;216;1275;4;99221;21/1/2014;26;1000;200;3;2/2/2014;13/2/2014;13
112;12;4;9;1;11;2209;3;99264;21/1/2014;14;1000;200;3;31/1/2014;12/2/2014;10
113;13;4;9;1;155;792;3;99277;22/1/2014;16;1002;303;3;30/1/2014;15/2/2014;1
114;3;5;15;15;216;1356;1;99281;22/1/2014;14;1002;200;3;20/1/2014;2/2/2014;1
115;13;4;13;1;11;522;3;99294;22/1/2014;14;1000;303;3;23/1/2014;12/2/2014;14
116;3;5;15;15;216;1698;3;99306;22/1/2014;26;1000;200;3;24/1/2014;1/2/2014;1
117;13;4;9;1;18;828;3;99353;22/1/2014;14;1002;200;3;2/2/2014;11/2/2014;1
118;13;4;9;1;18;5687;4;99366;22/1/2014;14;1002;200;3;5/3/2014;14/3/2014;1
119;3;5;15;15;216;674;2;99379;22/1/2014;26;1000;200;3;24/1/2014;31/1/2014;1
120;3;5;15;15;216;3090;3;99383;22/1/2014;26;1000;200;3;24/1/2014;31/1/2014;1
121;12;4;7;2;318;4044;2;99408;23/1/2014;14;1000;200;3;24/1/2014;8/2/2014;12
122;13;4;13;1;11;3116;4;99468;23/1/2014;14;1000;200;3;15/2/2014;2/3/2014;12
123;13;4;13;1;11;2537;4;99514;23/1/2014;14;1000;200;3;5/2/2014;23/2/2014;12
124;12;4;9;1;11;1380;3;99527;23/1/2014;26;1000;200;3;5/3/2014;15/3/2014;14
125;3;5;15;15;216;308;4;99544;24/1/2014;26;1001;400;3;6/3/2014;24/3/2014;1
126;12;4;7;4;89;4712;3;99557;24/1/2014;26;1001;400;3;1/2/2014;16/2/2014;14
127;13;4;9;1;12;2882;3;99561;24/1/2014;16;1000;102;3;28/1/2014;5/2/2014;1
128;3;5;15;15;216;255;1;99646;24/1/2014;26;1000;200;3;28/1/2014;4/2/2014;1
129;12;4;7;4;23;5313;4;99676;24/1/2014;14;1000;200;3;29/1/2014;8/2/2014;14
130;3;5;15;15;216;255;1;99705;24/1/2014;26;1000;200;3;28/1/2014;4/2/2014;1
131;3;5;15;15;216;1214;3;99748;24/1/2014;26;1001;400;3;4/8/2014;30/8/2014;1
132;12;4;9;1;11;3350;3;99824;26/1/2014;16;1000;200;3;27/1/2014;30/1/2014;9
133;12;4;9;1;11;3350;3;99837;26/1/2014;16;1002;200;3;27/1/2014;30/1/2014;9
134;3;5;15;15;216;4546;3;99913;27/1/2014;26;1000;200;3;31/1/2014;9/2/2014;1
135;3;5;15;15;216;2168;1;99986;27/1/2014;26;1000;200;3;1/2/2014;14/2/2014;1
136;12;4;7;4;23;3670;1;100003;27/1/2014;14;1000;200;3;3/2/2014;20/2/2014;12
137;3;5;15;15;216;3049;3;100016;27/1/2014;26;1000;200;3;3/2/2014;18/2/2014;1
138;12;4;9;1;11;2769;3;100029;27/1/2014;14;1002;200;3;29/1/2014;17/2/2014;12
139;3;5;15;15;216;255;1;100063;28/1/2014;26;1002;200;3;31/1/2014;7/2/2014;1
140;13;4;9;1;18;3805;2;100093;28/1/2014;14;1002;200;3;28/1/2014;9/2/2014;1
141;13;4;9;1;224;941;3;100105;28/1/2014;16;1000;403;3;1/3/2014;17/3/2014;1
142;13;4;9;1;22;1984;1;100135;28/1/2014;16;1000;200;3;29/1/2014;13/2/2014;1
143;13;4;9;1;131;3510;3;100148;28/1/2014;14;1002;303;3;28/1/2014;23/2/2014;1
144;13;4;13;1;11;776;3;100152;28/1/2014;14;1001;403;3;23/3/2014;4/4/2014;6
145;12;4;9;1;11;5194;3;100165;28/1/2014;14;1000;200;3;2/3/2014;16/3/2014;12
146;13;4;13;1;11;2000;3;100178;28/1/2014;14;1000;200;3;29/3/2014;19/4/2014;9
147;13;4;13;1;11;1245;3;100182;28/1/2014;14;1002;200;3;29/1/2014;6/2/2014;13
148;3;5;15;15;217;3977;1;100207;28/1/2014;26;1000;200;3;30/1/2014;6/2/2014;1
149;12;4;9;1;11;4022;3;100211;28/1/2014;26;1001;302;3;20/5/2014;13/6/2014;14
150;13;4;13;1;11;2195;3;100254;29/1/2014;14;1000;200;3;8/3/2014;23/3/2014;12
151;12;4;7;4;23;5293;3;100271;29/1/2014;26;1001;400;3;8/5/2014;25/5/2014;14
152;13;4;13;1;11;3067;3;100284;29/1/2014;14;1001;400;3;17/2/2014;9/3/2014;8
153;13;4;9;1;50;5025;3;100373;30/1/2014;16;1004;303;3;9/2/2014;23/2/2014;1
154;13;4;13;1;11;3502;3;100445;30/1/2014;14;1000;200;3;14/2/2014;7/3/2014;12
155;13;4;13;1;11;2727;3;100458;30/1/2014;14;1002;200;3;9/3/2014;19/3/2014;12
156;13;4;13;1;11;4679;3;100521;30/1/2014;14;1002;200;3;4/2/2014;13/2/2014;11
157;12;4;9;1;11;2561;4;100551;30/1/2014;26;1000;200;3;4/2/2014;13/2/2014;6
158;13;4;13;1;11;3253;2;100577;31/1/2014;14;1002;200;3;8/3/2014;23/3/2014;8
159;3;5;15;15;217;4409;3;100606;31/1/2014;14;1002;102;3;8/2/2014;22/2/2014;12
160;3;5;15;15;217;255;2;100649;31/1/2014;26;1000;200;3;4/2/2014;11/2/2014;1
161;3;5;15;15;217;255;1;100653;31/1/2014;26;1000;200;3;4/2/2014;11/2/2014;1
162;13;4;9;1;18;2343;1;100831;1/2/2014;16;1002;200;3;3/2/2014;16/2/2014;1
163;3;5;15;15;217;4660;4;100857;1/2/2014;26;1000;200;3;4/2/2014;11/2/2014;1
164;3;5;15;15;217;5723;2;100861;1/2/2014;26;1000;200;3;4/2/2014;11/2/2014;1
165;12;4;9;1;11;1599;1;100887;1/2/2014;43;1000;200;3;6/2/2014;15/2/2014;12
166;13;4;13;1;11;4066;4;101155;3/2/2014;14;1002;200;3;4/2/2014;13/2/2014;12
167;12;4;7;2;20;5010;1;101185;3/2/2014;14;1002;200;3;21/3/2014;6/4/2014;14
168;13;4;9;1;188;3170;1;101201;3/2/2014;16;1003;400;3;3/2/2014;2/3/2014;1
169;12;4;9;1;11;4498;3;101231;3/2/2014;14;1000;200;3;10/2/2014;21/2/2014;14
170;3;5;15;15;217;846;3;101287;3/2/2014;26;1000;200;3;5/2/2014;18/2/2014;1
171;13;4;9;1;50;705;3;101363;3/2/2014;16;1003;303;3;4/2/2014;9/2/2014;1
172;13;4;9;1;348;2077;1;101393;4/2/2014;14;1000;200;3;6/2/2014;15/2/2014;1
173;3;5;15;15;217;4805;3;101478;4/2/2014;26;1000;102;3;24/4/2014;8/5/2014;1
174;13;4;13;1;11;4512;3;101482;4/2/2014;14;1002;200;3;8/2/2014;28/2/2014;9
175;3;5;15;15;217;4624;4;101524;4/2/2014;26;1000;200;3;7/2/2014;14/2/2014;1
176;13;4;13;1;11;2100;3;101571;4/2/2014;14;1001;400;3;5/2/2014;1/3/2014;6
177;12;4;7;2;115;4964;3;101584;4/2/2014;14;1000;302;3;7/3/2014;22/3/2014;1
178;3;5;15;15;217;255;1;101626;4/2/2014;26;1000;200;3;7/2/2014;14/2/2014;1
179;3;5;15;15;217;255;1;101639;4/2/2014;26;1000;200;3;7/2/2014;14/2/2014;1
180;12;4;9;1;11;1630;4;101686;4/2/2014;26;1000;200;3;20/2/2014;8/3/2014;14
181;12;4;9;1;11;3274;4;101699;4/2/2014;26;1000;200;3;17/3/2014;24/3/2014;14
182;13;3;24;1;342;255;2;134564;4/2/2014;14;1000;200;3;7/11/2014;16/11/2014;1
183;13;3;24;1;342;255;2;134636;4/2/2014;14;1000;200;3;7/11/2014;16/11/2014;1
184;13;3;24;1;342;255;2;134666;4/2/2014;14;1000;200;3;7/11/2014;16/11/2014;1
185;12;4;9;1;11;4291;4;101732;5/2/2014;14;1000;200;3;17/2/2014;28/2/2014;13
186;3;5;15;15;217;892;4;101775;5/2/2014;26;1004;200;3;7/2/2014;16/2/2014;1
187;3;5;15;15;217;746;4;101788;5/2/2014;26;1000;200;3;20/2/2014;27/2/2014;1
188;3;5;15;15;217;661;1;101834;5/2/2014;26;1000;200;3;7/2/2014;14/2/2014;1
189;3;5;15;15;217;2197;2;101851;5/2/2014;26;1000;200;3;5/2/2014;11/2/2014;1
190;3;5;15;15;217;5012;1;101877;5/2/2014;26;1000;200;3;11/2/2014;25/2/2014;1
191;13;4;9;1;85;2474;4;101936;6/2/2014;14;1000;200;3;8/2/2014;15/2/2014;1
192;12;4;9;1;11;5615;4;101949;6/2/2014;14;1000;200;3;15/2/2014;22/2/2014;13
193;13;4;13;1;11;4732;3;101953;6/2/2014;14;1002;200;3;14/2/2014;22/2/2014;9
194;3;5;15;15;217;1604;4;102086;6/2/2014;26;1000;200;3;8/2/2014;22/2/2014;1
195;13;4;13;1;11;4484;3;102115;7/2/2014;14;1000;200;3;12/2/2014;25/2/2014;13
196;13;4;9;1;11;1213;3;102158;7/2/2014;16;1004;103;3;15/2/2014;1/3/2014;1
197;12;4;9;1;11;1215;4;102217;8/2/2014;16;1002;200;3;15/2/2014;28/2/2014;12
198;13;4;9;1;16;4778;3;102247;10/2/2014;16;1002;403;3;15/2/2014;19/2/2014;1
199;13;4;9;1;85;4096;4;102264;10/2/2014;14;1000;200;3;23/5/2014;1/6/2014;1
200;3;5;15;15;217;2236;4;102277;10/2/2014;26;1002;200;3;12/2/2014;28/2/2014;1
201;3;5;15;15;217;795;1;102281;10/2/2014;26;1001;400;3;20/2/2014;11/3/2014;1
202;3;5;15;15;217;3967;4;102336;11/2/2014;26;1000;200;3;12/2/2014;17/2/2014;1
203;3;5;15;15;217;5635;1;102353;11/2/2014;26;1000;200;3;11/2/2014;18/2/2014;1
204;13;4;13;1;11;4590;3;102379;11/2/2014;14;1000;200;3;16/2/2014;22/2/2014;9
205;13;4;9;1;224;4719;4;102383;11/2/2014;16;1004;403;3;15/2/2014;1/3/2014;1
206;3;5;15;15;217;2199;1;102412;11/2/2014;26;1000;200;3;14/2/2014;21/2/2014;1
207;12;4;9;1;11;634;3;102438;11/2/2014;16;1000;200;3;17/2/2014;4/3/2014;13
208;13;4;13;1;11;1957;2;102442;12/2/2014;14;1002;200;3;16/2/2014;3/3/2014;12
209;3;5;15;15;217;712;4;102485;12/2/2014;26;1000;102;3;15/2/2014;25/2/2014;1
210;13;4;9;1;83;2338;3;102501;12/2/2014;16;1000;303;3;14/2/2014;24/2/2014;1
211;3;5;15;15;217;5594;4;102514;12/2/2014;26;1001;400;3;16/2/2014;9/3/2014;1
212;12;4;9;1;11;4010;3;102633;12/2/2014;16;1000;200;3;26/2/2014;1/3/2014;12
213;3;5;15;15;217;5755;4;102748;13/2/2014;26;1000;200;3;15/2/2014;25/2/2014;1
214;13;4;9;1;217;2497;3;102765;13/2/2014;14;1002;402;1;24/2/2014;3/3/2014;1
215;13;4;9;1;217;4179;3;102782;13/2/2014;16;1002;303;3;30/4/2014;11/5/2014;1
216;3;5;15;15;217;1344;1;102824;13/2/2014;26;1000;200;3;14/2/2014;21/2/2014;1
217;3;5;15;15;217;337;3;102871;14/2/2014;26;1000;200;3;16/2/2014;25/2/2014;1
218;13;4;9;1;217;577;3;102909;14/2/2014;14;1001;201;3;26/2/2014;19/3/2014;1
219;13;4;9;1;12;5781;4;102926;14/2/2014;16;1002;102;3;15/3/2014;24/3/2014;1
220;3;5;15;15;217;4069;4;102956;14/2/2014;26;1000;200;3;17/2/2014;25/2/2014;1
221;3;5;15;15;217;255;1;102986;14/2/2014;26;1000;200;3;18/2/2014;25/2/2014;1
222;3;5;15;15;217;2030;3;103003;14/2/2014;26;1000;200;3;14/2/2014;18/2/2014;1
223;3;5;15;15;217;4767;3;103029;15/2/2014;26;1000;200;3;18/2/2014;2/3/2014;1
224;3;5;15;15;217;255;1;103267;17/2/2014;26;1000;200;3;18/2/2014;25/2/2014;1
225;3;5;15;15;217;23;3;103271;17/2/2014;26;1000;200;3;18/2/2014;25/2/2014;1
226;3;5;15;15;217;255;2;103326;17/2/2014;26;1000;200;3;19/2/2014;5/3/2014;1
227;12;4;9;1;11;226;3;103339;18/2/2014;14;1000;200;3;19/3/2014;11/4/2014;12
228;12;4;9;1;11;4403;3;103369;18/2/2014;14;1000;200;3;28/2/2014;4/3/2014;12
229;12;4;9;1;11;5209;4;103534;18/2/2014;26;1000;200;3;24/2/2014;11/3/2014;15
230;3;5;15;15;217;255;1;103606;18/2/2014;26;1000;200;3;21/2/2014;28/2/2014;1
231;12;4;9;1;11;3784;3;103653;19/2/2014;14;1000;200;3;22/2/2014;4/3/2014;13
232;13;4;9;1;14;788;3;103679;19/2/2014;16;1000;200;3;22/2/2014;4/3/2014;1
233;3;5;15;15;217;5187;4;103696;19/2/2014;26;1002;200;3;21/2/2014;2/3/2014;1
234;13;4;13;1;11;4420;3;103708;19/2/2014;26;1000;102;3;23/2/2014;3/3/2014;12
235;13;4;9;1;18;167;4;103712;19/2/2014;16;1000;200;3;3/3/2014;18/3/2014;1
236;12;4;9;1;11;1687;3;103755;19/2/2014;16;1002;200;3;22/2/2014;10/3/2014;10
237;12;4;9;1;11;692;3;103814;20/2/2014;14;1000;200;3;22/2/2014;1/3/2014;12
238;3;5;15;15;217;4722;3;103857;20/2/2014;26;1001;400;3;11/3/2014;19/4/2014;1
239;12;4;7;4;160;5255;3;103874;20/2/2014;26;1000;200;3;21/4/2014;3/5/2014;15
240;3;5;15;15;217;716;4;103959;20/2/2014;26;1000;102;3;23/2/2014;4/3/2014;1
241;12;4;9;1;11;2721;3;103963;20/2/2014;26;1002;200;3;21/2/2014;8/3/2014;14
242;3;5;15;15;217;3513;4;104112;22/2/2014;26;1000;200;3;14/3/2014;22/3/2014;1
243;12;4;9;1;11;2784;4;104125;23/2/2014;14;1000;200;3;12/3/2014;18/3/2014;7
244;12;4;7;4;180;492;2;104214;24/2/2014;26;1000;200;3;26/2/2014;14/3/2014;9
245;3;5;15;15;217;136;3;104227;24/2/2014;26;1001;400;3;6/4/2014;17/4/2014;1
246;12;4;7;2;295;3807;2;104257;24/2/2014;14;1000;200;3;28/2/2014;9/3/2014;14
247;12;4;7;2;318;2793;3;104482;25/2/2014;16;1002;200;3;2/3/2014;11/3/2014;13
248;13;4;13;1;11;2963;3;104511;26/2/2014;14;1000;200;3;4/4/2014;26/4/2014;13
249;3;5;15;15;217;2767;4;104524;26/2/2014;26;1004;200;3;26/2/2014;6/3/2014;1
250;3;5;15;15;217;5208;3;104554;26/2/2014;26;1000;200;3;28/2/2014;7/3/2014;1
251;13;4;9;1;146;1205;4;104597;26/2/2014;14;1002;200;3;16/3/2014;24/3/2014;1
252;3;5;15;15;217;1139;3;104643;26/2/2014;26;1000;200;3;5/3/2014;16/3/2014;1
253;3;5;15;15;217;2091;4;104792;27/2/2014;26;1000;200;3;12/3/2014;20/3/2014;1
254;13;4;9;1;14;3865;4;104804;27/2/2014;16;1002;200;3;26/3/2014;6/4/2014;1
255;3;5;15;15;217;3176;4;104817;27/2/2014;26;1001;102;3;7/3/2014;18/3/2014;1
256;13;4;9;1;210;169;3;104821;27/2/2014;14;1001;402;1;7/3/2014;14/4/2014;1
257;12;4;7;4;135;3104;3;105574;28/2/2014;26;1000;200;3;14/3/2014;25/3/2014;14
258;3;5;15;15;217;3247;3;105587;28/2/2014;26;1002;200;3;7/3/2014;20/3/2014;1
259;12;4;9;1;11;2186;3;105646;28/2/2014;14;1000;200;3;5/3/2014;16/3/2014;9
260;13;4;9;1;80;1758;4;105663;28/2/2014;14;1001;400;3;11/4/2014;27/4/2014;1
261;3;5;15;15;217;255;1;105693;28/2/2014;26;1000;200;3;4/3/2014;11/3/2014;1
262;3;5;15;15;217;5058;3;105705;28/2/2014;26;1001;400;3;6/4/2014;19/4/2014;1
263;3;5;15;15;217;3156;4;105722;1/3/2014;26;1000;102;3;5/3/2014;20/3/2014;1
264;3;5;15;15;217;1665;4;105735;1/3/2014;26;1000;200;3;7/3/2014;14/3/2014;1
